SLC,BZN,78,326,2113
SLC,GCC,86,223,660
SLC,CDC,58,167,1142
SLC,COD,76,358,673
SLC,JAC,58,260,1886
SLC,FCA,100,478,1763
SLC,WYS,67,238,415
SLC,SGU,67,300,2381
SLC,BOI,68,286,3149
SLC,MSO,89,256,1995
SLC,RDM,97,331,1186
PHX,SLC,94,255,10905
RIC,CAE,88,312,1
LAX,RNO,86,311,3772
ATL,TLH,63,197,4177
MSP,RST,47,176,794
RST,CLE,91,311,1
CLT,SDF,82,247,16
DTW,LEX,75,220,977
DTW,FWA,55,147,1941
DTW,LIT,123,352,547
SLC,COD,76,358,673
MSN,CID,49,186,1
HOU,HRL,59,284,3059
OKC,DFW,59,259,5242
STL,OKC,81,216,829
IAD,ROC,82,229,222
ROC,EWR,75,198,1406
DEN,SUN,108,363,214
EWR,BDL,57,267,879
BWI,BUF,66,222,3531
BUF,JFK,82,214,4796
JNU,YAK,51,193,650
JNU,GST,32,97,150
PSG,JNU,43,119,654
IAD,TTN,105,282,1
SNA,SMF,80,202,4226
WRG,PSG,24,89,651
KTN,WRG,37,105,650
SLC,WYS,67,238,415
IAH,AEX,58,276,1803
MSP,FAR,63,270,3419
MSP,FSD,62,242,2525
MSP,MLI,81,305,121
MSP,XNA,118,359,919
STL,MSP,87,260,4504
MSP,RST,47,176,794
MSP,LSE,53,248,963
MSP,PIA,97,336,39
MSP,ATW,68,273,1023
MSP,IDA,146,557,38
MSP,CWA,61,193,50
MSP,GRB,67,265,2099
MSP,AZO,92,248,230
MSP,INL,69,176,482
MSP,HLN,145,610,456
MSP,RAP,98,411,2623
MSP,GTF,142,457,606
MSP,DIK,97,455,1177
MSP,PSP,205,576,308
MSP,IMT,69,304,662
MSP,OMA,72,219,2543
MSP,ASE,150,395,42
ORD,MKG,56,163,1235
ANC,ADQ,55,161,874
BNA,RSW,118,297,201
RSW,ISP,168,722,54
EWR,SBN,122,486,610
SBN,COS,176,585,1
ATL,AGS,54,139,4689
IAD,CVG,82,274,147
CVG,MSN,84,271,72
JMS,DVL,42,194,721
DEN,JMS,109,308,777
BNA,MOB,78,329,1
RDU,BNA,83,246,1960
BNA,STL,61,227,1239
BNA,RSW,118,297,201
BNA,MCI,88,258,2151
ORD,CHA,104,274,728
MYR,PBG,129,424,101
MSP,PIA,97,336,39
SEA,PSC,62,303,347
PDX,SEA,52,180,3667
SEA,SIT,138,367,590
MSP,ATW,68,273,1023
ATL,GTR,67,289,1824
SLC,SGU,67,300,2381
IAD,GSP,86,276,16
DTW,ACY,96,389,290
BOI,PDX,76,270,121
BOI,GEG,59,172,1159
SLC,BOI,68,286,3149
LIH,OGG,48,195,2639
SFO,LIH,316,804,856
DTW,MBS,50,153,864
DEN,GJT,61,256,899
IAD,UST,116,418,6
IAD,RDU,63,222,773
IAD,ROC,82,229,222
IAD,TTN,105,282,1
IAD,CVG,82,274,147
IAD,GSP,86,276,16
IAD,GSO,68,201,120
IAD,PIT,63,218,427
CLT,IAD,81,234,25
IAD,SAV,104,417,171
IAD,ROA,68,304,10
HNL,PPG,334,884,213
IAH,BFL,211,543,956
BRW,FAI,81,312,322
DTW,BGR,125,341,621
ANC,SCC,102,504,835
SCC,BRW,48,175,813
JFK,HYA,61,187,163
PHL,BWI,56,181,14
PHL,RIC,63,193,12
PIT,PHL,78,210,1773
PHL,PVD,71,183,564
